ligand,pocket,best_score_kcal_mol,log_file
fda_1006,TcS6_pocket2,-3.748,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1006__TcS6_pocket2_log.txt
fda_1007,Human_pocket12,-4.338,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1007__Human_pocket12_log.txt
fda_1007,Human_pocket5,-4.934,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1007__Human_pocket5_log.txt
fda_1007,Human_pocket9,-4.384,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1007__Human_pocket9_log.txt
fda_1007,TcS6_pocket11,-4.263,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1007__TcS6_pocket11_log.txt
fda_1007,TcS6_pocket2,-4.348,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1007__TcS6_pocket2_log.txt
fda_1008,Human_pocket12,-3.504,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1008__Human_pocket12_log.txt
fda_1008,Human_pocket5,-5.143,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1008__Human_pocket5_log.txt
fda_1008,Human_pocket9,-3.576,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1008__Human_pocket9_log.txt
fda_1008,TcS6_pocket11,-4.206,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1008__TcS6_pocket11_log.txt
fda_1008,TcS6_pocket2,-3.88,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1008__TcS6_pocket2_log.txt
fda_1010,Human_pocket12,-5.607,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1010__Human_pocket12_log.txt
fda_1010,Human_pocket5,-7.787,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1010__Human_pocket5_log.txt
fda_1010,Human_pocket9,-3.916,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1010__Human_pocket9_log.txt
fda_1010,TcS6_pocket11,-6.435,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1010__TcS6_pocket11_log.txt
fda_1010,TcS6_pocket2,-5.637,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1010__TcS6_pocket2_log.txt
fda_1011,Human_pocket12,-2.554,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1011__Human_pocket12_log.txt
fda_1011,Human_pocket5,-5.562,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1011__Human_pocket5_log.txt
fda_1011,Human_pocket9,-3.625,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1011__Human_pocket9_log.txt
fda_1011,TcS6_pocket11,-3.929,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1011__TcS6_pocket11_log.txt
fda_1011,TcS6_pocket2,-3.933,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1011__TcS6_pocket2_log.txt
fda_1012,Human_pocket12,-2.783,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1012__Human_pocket12_log.txt
fda_1012,Human_pocket5,-6.104,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1012__Human_pocket5_log.txt
fda_1012,Human_pocket9,-4.135,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1012__Human_pocket9_log.txt
fda_1012,TcS6_pocket11,-4.227,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1012__TcS6_pocket11_log.txt
fda_1012,TcS6_pocket2,-4.337,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1012__TcS6_pocket2_log.txt
fda_1013,Human_pocket12,-4.547,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1013__Human_pocket12_log.txt
fda_1013,Human_pocket5,-5.883,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1013__Human_pocket5_log.txt
fda_1013,Human_pocket9,-5.149,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1013__Human_pocket9_log.txt
