ligand,pocket,best_score_kcal_mol,log_file
fda_102,Human_pocket9,-2.918,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_102__Human_pocket9_log.txt
fda_102,TcS6_pocket11,-2.845,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_102__TcS6_pocket11_log.txt
fda_102,TcS6_pocket2,-2.873,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_102__TcS6_pocket2_log.txt
fda_1030,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1030__Human_pocket12_log.txt
fda_1030,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1030__Human_pocket5_log.txt
fda_1030,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1030__Human_pocket9_log.txt
fda_1030,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1030__TcS6_pocket11_log.txt
fda_1030,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1030__TcS6_pocket2_log.txt
fda_1031,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1031__Human_pocket12_log.txt
fda_1031,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1031__Human_pocket5_log.txt
fda_1031,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1031__Human_pocket9_log.txt
fda_1031,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1031__TcS6_pocket11_log.txt
fda_1031,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1031__TcS6_pocket2_log.txt
fda_1032,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1032__Human_pocket12_log.txt
fda_1032,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1032__Human_pocket5_log.txt
fda_1032,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1032__Human_pocket9_log.txt
fda_1032,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1032__TcS6_pocket11_log.txt
fda_1032,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1032__TcS6_pocket2_log.txt
fda_1033,Human_pocket12,-3.12,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1033__Human_pocket12_log.txt
fda_1033,Human_pocket5,-4.199,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1033__Human_pocket5_log.txt
fda_1033,Human_pocket9,-3.436,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1033__Human_pocket9_log.txt
fda_1033,TcS6_pocket11,-3.352,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1033__TcS6_pocket11_log.txt
fda_1033,TcS6_pocket2,-3.333,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1033__TcS6_pocket2_log.txt
fda_1035,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1035__Human_pocket12_log.txt
fda_1035,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1035__Human_pocket5_log.txt
fda_1035,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1035__Human_pocket9_log.txt
fda_1035,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1035__TcS6_pocket11_log.txt
fda_1035,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1035__TcS6_pocket2_log.txt
fda_1036,Human_pocket12,-4.119,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1036__Human_pocket12_log.txt
fda_1036,Human_pocket5,-4.983,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1036__Human_pocket5_log.txt
fda_1036,Human_pocket9,-4.162,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1036__Human_pocket9_log.txt
fda_1036,TcS6_pocket11,-4.482,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1036__TcS6_pocket11_log.txt
fda_1036,TcS6_pocket2,-4.54,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1036__TcS6_pocket2_log.txt
fda_1037,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1037__Human_pocket12_log.txt
fda_1037,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1037__Human_pocket5_log.txt
fda_1037,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1037__Human_pocket9_log.txt
fda_1037,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1037__TcS6_pocket11_log.txt
fda_1037,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1037__TcS6_pocket2_log.txt
fda_1038,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1038__Human_pocket12_log.txt
fda_1038,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1038__Human_pocket5_log.txt
fda_1038,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1038__Human_pocket9_log.txt
fda_1038,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1038__TcS6_pocket11_log.txt
fda_1038,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1038__TcS6_pocket2_log.txt
fda_1039,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1039__Human_pocket12_log.txt
fda_1039,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1039__Human_pocket5_log.txt
fda_1039,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1039__Human_pocket9_log.txt
fda_1039,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1039__TcS6_pocket11_log.txt
fda_1039,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1039__TcS6_pocket2_log.txt
fda_103,Human_pocket12,-4.098,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_103__Human_pocket12_log.txt
fda_103,Human_pocket5,-5.845,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_103__Human_pocket5_log.txt
fda_103,Human_pocket9,-4.874,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_103__Human_pocket9_log.txt
fda_103,TcS6_pocket11,-4.39,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_103__TcS6_pocket11_log.txt
fda_103,TcS6_pocket2,-4.277,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_103__TcS6_pocket2_log.txt
fda_1040,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1040__Human_pocket12_log.txt
fda_1040,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1040__Human_pocket5_log.txt
fda_1040,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1040__Human_pocket9_log.txt
fda_1040,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1040__TcS6_pocket11_log.txt
fda_1040,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1040__TcS6_pocket2_log.txt
fda_1041,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1041__Human_pocket12_log.txt
fda_1041,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1041__Human_pocket5_log.txt
fda_1041,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1041__Human_pocket9_log.txt
fda_1041,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1041__TcS6_pocket11_log.txt
fda_1041,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1041__TcS6_pocket2_log.txt
fda_1042,Human_pocket12,2162000.0,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1042__Human_pocket12_log.txt
fda_1042,Human_pocket9,1.426,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1042__Human_pocket9_log.txt
fda_1042,TcS6_pocket11,-2.356,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1042__TcS6_pocket11_log.txt
fda_1042,TcS6_pocket2,2.053,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1042__TcS6_pocket2_log.txt
fda_104,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_104__Human_pocket12_log.txt
fda_104,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_104__Human_pocket5_log.txt
fda_104,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_104__Human_pocket9_log.txt
fda_104,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_104__TcS6_pocket11_log.txt
fda_104,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_104__TcS6_pocket2_log.txt
fda_10,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_10__Human_pocket12_log.txt
fda_10,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_10__Human_pocket5_log.txt
fda_10,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_10__Human_pocket9_log.txt
fda_10,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_10__TcS6_pocket11_log.txt
fda_10,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_10__TcS6_pocket2_log.txt
fda_1,Human_pocket12,-5.162,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1__Human_pocket12_log.txt
fda_1,Human_pocket5,-6.379,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1__Human_pocket5_log.txt
fda_1,Human_pocket9,-6.152,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1__Human_pocket9_log.txt
fda_1,TcS6_pocket11,-5.914,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1__TcS6_pocket11_log.txt
fda_1,TcS6_pocket2,-5.622,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1__TcS6_pocket2_log.txt
