ligand,Human_pocket12,Human_pocket5,Human_pocket9,TcS6_pocket2,delta_Human9_minus_Tc,delta_Human12_minus_Tc,delta_Human5_minus_Tc,best_human_score,delta_best_human_minus_Tc
Chlorthalidone_fda1453,-4.703,-6.014,-5.074,-5.434,0.3600000000000003,0.7309999999999999,-0.5800000000000001,-6.014,-0.5800000000000001
Raltegravir_fda346,-5.13,-6.483,-5.768,-5.654,-0.11399999999999988,0.524,-0.8289999999999997,-6.483,-0.8289999999999997
Bictegravir_fda2257,-5.403,-6.546,-5.886,-5.505,-0.3810000000000002,0.10200000000000031,-1.0410000000000004,-6.546,-1.0410000000000004
Baicalin_fda456,-4.951,-6.302,-5.432,-5.192,-0.2400000000000002,0.24100000000000055,-1.1099999999999994,-6.302,-1.1099999999999994
Dolutegravir_fda2630,-5.215,-6.865,-5.699,-5.412,-0.2869999999999999,0.19700000000000006,-1.4530000000000003,-6.865,-1.4530000000000003
Morin_fda2276,-4.559,-6.321,-5.282,-4.826,-0.4560000000000004,0.26699999999999946,-1.495,-6.321,-1.495
Apigenin_fda449,-4.572,-6.39,-4.799,-4.881,0.08199999999999985,0.30900000000000016,-1.5089999999999995,-6.39,-1.5089999999999995
Kaempferol_fda481,-4.438,-6.269,-4.861,-4.705,-0.1559999999999997,0.26700000000000035,-1.564,-6.269,-1.564
