ligand,pocket,best_score_kcal_mol,out_pdbqt,log_file
Dolutegravir_fda2630,TcS6_pocket11,-6.028,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Dolutegravir_fda2630__TcS6_pocket11_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Dolutegravir_fda2630__TcS6_pocket11_log.txt
Dolutegravir_fda2630,Human_pocket9,-5.564,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Dolutegravir_fda2630__Human_pocket9_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Dolutegravir_fda2630__Human_pocket9_log.txt
Dolutegravir_fda2630,Human_pocket12,-5.12,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Dolutegravir_fda2630__Human_pocket12_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Dolutegravir_fda2630__Human_pocket12_log.txt
Dolutegravir_fda2630,Human_pocket5,-6.847,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Dolutegravir_fda2630__Human_pocket5_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Dolutegravir_fda2630__Human_pocket5_log.txt
Kaempferol_fda481,TcS6_pocket2,-4.705,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Kaempferol_fda481__TcS6_pocket2_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Kaempferol_fda481__TcS6_pocket2_log.txt
Kaempferol_fda481,TcS6_pocket11,-4.767,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Kaempferol_fda481__TcS6_pocket11_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Kaempferol_fda481__TcS6_pocket11_log.txt
Kaempferol_fda481,Human_pocket9,-4.847,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Kaempferol_fda481__Human_pocket9_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Kaempferol_fda481__Human_pocket9_log.txt
Kaempferol_fda481,Human_pocket12,-4.469,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Kaempferol_fda481__Human_pocket12_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Kaempferol_fda481__Human_pocket12_log.txt
Kaempferol_fda481,Human_pocket5,-6.26,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Kaempferol_fda481__Human_pocket5_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Kaempferol_fda481__Human_pocket5_log.txt
Morin_fda2276,TcS6_pocket2,-4.826,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Morin_fda2276__TcS6_pocket2_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Morin_fda2276__TcS6_pocket2_log.txt
Morin_fda2276,TcS6_pocket11,-4.872,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Morin_fda2276__TcS6_pocket11_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Morin_fda2276__TcS6_pocket11_log.txt
Morin_fda2276,Human_pocket9,-4.765,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Morin_fda2276__Human_pocket9_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Morin_fda2276__Human_pocket9_log.txt
Morin_fda2276,Human_pocket12,-4.554,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Morin_fda2276__Human_pocket12_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Morin_fda2276__Human_pocket12_log.txt
Morin_fda2276,Human_pocket5,-6.32,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Morin_fda2276__Human_pocket5_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Morin_fda2276__Human_pocket5_log.txt
Raltegravir_fda346,TcS6_pocket2,-5.683,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Raltegravir_fda346__TcS6_pocket2_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Raltegravir_fda346__TcS6_pocket2_log.txt
Raltegravir_fda346,TcS6_pocket11,-5.827,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Raltegravir_fda346__TcS6_pocket11_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Raltegravir_fda346__TcS6_pocket11_log.txt
Raltegravir_fda346,Human_pocket9,-5.765,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Raltegravir_fda346__Human_pocket9_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Raltegravir_fda346__Human_pocket9_log.txt
Raltegravir_fda346,Human_pocket12,-5.125,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Raltegravir_fda346__Human_pocket12_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Raltegravir_fda346__Human_pocket12_log.txt
Raltegravir_fda346,Human_pocket5,-6.656,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Raltegravir_fda346__Human_pocket5_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Raltegravir_fda346__Human_pocket5_log.txt
