pocket,center_x,center_y,center_z,size_x,size_y,size_z,span_x,span_y,span_z,n_atoms
TcS6_pocket2,74.6476,-24.279759999999996,-21.55592,21.938999999999993,17.905,16.0,13.938999999999993,9.905000000000001,6.466999999999999,25
TcS6_pocket11,65.01873913043478,-23.89978260869565,-22.282260869565217,22.492000000000004,18.54,16.784,14.492000000000004,10.54,8.783999999999999,23
Human_pocket9,-36.8933157894737,14.241631578947368,79.63242105263157,18.753,16.0,19.361000000000004,10.753,7.449999999999999,11.361000000000004,19
Human_pocket12,-33.0192,19.061933333333332,85.56159999999998,16.0,16.0,17.179000000000002,6.009999999999998,7.7989999999999995,9.179000000000002,15
Human_pocket5,-12.188,-9.619548387096776,-5.474193548387098,17.183999999999997,19.326999999999998,26.332,9.183999999999997,11.327,18.332,31
